Source Target Weight
李达康 尚方宝剑 15
李达康 陈岩石 213
李达康 张卡 33
李达康 高育民 27
李达康 高育良 332
李达康 侯亮平 742
李达康 孙连城 50
李达康 季昌明 88
李达康 陈群芳 25
李达康 周正 57
李达康 祁同伟 238
李达康 王大路 189
李达康 毕敬业 42
李达康 高小琴 224
李达康 欧阳菁 737
李达康 郑胜利 43
李达康 陆亦可 197
李达康 赵东来 180
李达康 桂花 86
周正 赵德汉 52
周正 李达康 57
周正 林华华 35
周正 高育良 24
周正 蔡成功 18
周正 丁义珍 86
周正 沙瑞金 13
周正 陈海 39
周正 侯亮平 71
周正 季昌明 13
周正 王大路 14
周正 欧阳菁 50
周正 陆亦可 50
周正 赵东来 14
陈海 赵德汉 117
陈海 陈海帮 11
陈海 李达康 257
陈海 林华华 57
陈海 高育良 132
陈海 蔡成功 337
陈海 欧阳菁 45
陈海 何阿三 45
陈海 丁义珍 307
陈海 沙瑞金 61
陈海 陈岩石 260
陈海 侯亮平 582
陈海 季昌明 26
陈海 周正 39
陈海 祁同伟 56
陈海 秦思远 13
陈海 张树立 15
陈海 高小琴 120
陈海 王馥真 11
陈海 侯浩然 15
陈海 陆亦可 162
陈海 赵东来 85
蔡成功 常成虎 16
蔡成功 桂花 19
蔡成功 李达康 353
蔡成功 林华华 119
蔡成功 高育良 135
蔡成功 何阿三 41
蔡成功 丁义珍 185
蔡成功 郑西坡 291
蔡成功 沙瑞金 153
蔡成功 陈岩石 160
蔡成功 陈海 337
蔡成功 侯亮平 1271
蔡成功 孙连城 20
蔡成功 周正 18
蔡成功 陈群芳 31
蔡成功 季昌明 137
蔡成功 祁同伟 111
蔡成功 王大路 22
蔡成功 张树立 13
蔡成功 高小琴 185
蔡成功 欧阳菁 266
蔡成功 侯浩然 13
蔡成功 郑胜利 34
蔡成功 陆亦可 360
蔡成功 赵东来 366
郑胜利 高育良 42
郑胜利 侯亮平 142
郑胜利 张宝宝 28
郑胜利 陈岩石 14
郑胜利 季昌明 45
郑胜利 蔡成功 34
郑胜利 丁义珍 14
郑胜利 郑西坡 275
郑胜利 李达康 43
郑胜利 沙瑞金 42
郑胜利 陆亦可 47
沙瑞金 常成虎 12
沙瑞金 李达康 243
沙瑞金 林华华 15
沙瑞金 陈海 61
沙瑞金 蔡成功 153
沙瑞金 丁义珍 101
沙瑞金 郑西坡 45
沙瑞金 高育良 213
沙瑞金 陈岩石 115
沙瑞金 侯亮平 254
沙瑞金 季昌明 66
沙瑞金 周正 13
沙瑞金 祁同伟 85
沙瑞金 赵立春 20
沙瑞金 王大路 18
沙瑞金 高小琴 49
沙瑞金 欧阳菁 80
沙瑞金 郑胜利 42
沙瑞金 陆亦可 88
沙瑞金 赵东来 76
尚方宝剑 李达康 15
高育民 李达康 27
孙连城 小皮球 90
孙连城 李达康 50
孙连城 蔡成功 20
孙连城 何阿三 20
孙连城 丁义珍 65
孙连城 郑西坡 22
孙连城 侯亮平 92
孙连城 祁同伟 16
孙连城 欧阳菁 19
孙连城 陆亦可 17
孙连城 赵东来 23
李梁 李达康 21
李梁 欧阳菁 22
陈群芳 侯亮平 51
陈群芳 李达康 25
陈群芳 林华华 11
陈群芳 欧阳菁 36
陈群芳 蔡成功 31
陈群芳 高小琴 14
季昌明 赵德汉 26
季昌明 李达康 88
季昌明 林华华 34
季昌明 高育良 100
季昌明 蔡成功 137
季昌明 丁义珍 92
季昌明 郑西坡 72
季昌明 沙瑞金 66
季昌明 陈海 26
季昌明 侯亮平 253
季昌明 周正 13
季昌明 祁同伟 22
季昌明 高小琴 33
季昌明 欧阳菁 80
季昌明 郑胜利 45
季昌明 陆亦可 77
季昌明 赵东来 26
祁同伟 小皮球 54
祁同伟 李达康 238
祁同伟 陈海 56
祁同伟 蔡成功 111
祁同伟 何阿三 12
祁同伟 丁义珍 78
祁同伟 沙瑞金 85
祁同伟 陈岩石 22
祁同伟 高育良 124
祁同伟 侯亮平 223
祁同伟 孙连城 16
祁同伟 季昌明 22
祁同伟 高小琴 81
祁同伟 欧阳菁 81
祁同伟 吴春林 12
祁同伟 陆亦可 89
祁同伟 赵东来 126
毕敬业 侯亮平 14
毕敬业 李达康 42
毕敬业 王大路 14
毕敬业 欧阳菁 44
高小琴 李达康 224
高小琴 林华华 24
高小琴 高育良 97
高小琴 蔡成功 185
高小琴 何阿三 15
高小琴 丁义珍 96
高小琴 沙瑞金 49
高小琴 陈岩石 26
高小琴 陈海 120
高小琴 侯亮平 375
高小琴 季昌明 33
高小琴 陈群芳 14
高小琴 祁同伟 81
高小琴 欧阳菁 143
高小琴 陆亦可 51
高小琴 赵东来 25
王馥真 陈海 11
王馥真 陈岩石 18
赵东来 小皮球 54
赵东来 李达康 180
赵东来 林华华 16
赵东来 陈海 85
赵东来 蔡成功 366
赵东来 何阿三 12
赵东来 郑西坡 59
赵东来 沙瑞金 76
赵东来 陈岩石 68
赵东来 高育良 12
赵东来 侯亮平 375
赵东来 孙连城 23
赵东来 周正 14
赵东来 季昌明 26
赵东来 祁同伟 126
赵东来 高小琴 25
赵东来 欧阳菁 57
赵东来 丁义珍 55
赵东来 陆亦可 211
桂花 侯亮平 50
桂花 李达康 86
桂花 林华华 23
桂花 王大路 28
桂花 欧阳菁 95
桂花 蔡成功 19
